SMILES_solute,SMILES_solvent,T/K,COSMO-SAC1,lngamma1,x1,dlnr1,index
CCCCCC,O=S1(=O)CCCC1,298.15,3.422219661,4.2905,1.00E-08,0.868280339,150
CCCCCC,O=S1(=O)CCCC1,333.15,3.160340214,3.6555,1.00E-08,0.495159786,151
CCCCCC,O=S1(=O)CCCC1,313.15,3.311462443,4.1271,1.00E-08,0.815637557,152
CCCCCC,O=S1(=O)CCCC1,552.7,1.792538109,1.528,1.00E-08,-0.264538109,153
CCCCCC,O=S1(=O)CCCC1,555.6,1.779495325,1.4793,1.00E-08,-0.300195325,154
CCCCCC,O=S1(=O)CCCC1,546.3,1.821750052,1.5461,1.00E-08,-0.275650052,155
CCCCCC,O=S1(=O)CCCC1,303.15,3.385705626,4.2905,1.00E-08,0.904794374,156
CCCCCC,O=S1(=O)CCCC1,317.9,3.275786115,3.7155,1.00E-08,0.439713885,157
CCCCCC,O=S1(=O)CCCC1,332.8,3.162996712,3.583,1.00E-08,0.420003288,158
CCCCCC,O=S1(=O)CCCC1,332.81,3.162920813,3.583,1.00E-08,0.420079187,159
CCCCCC,O=S1(=O)CCCC1,303.8,3.380924907,3.8499,1.00E-08,0.468975093,160
c1ccccc1,CCC(C)=O,298.2,-0.135801504,0.1133,1.00E-08,0.249101504,161
c1ccccc1,CCC(C)=O,352.8,-0.069867405,0.1989,1.00E-08,0.268767405,162
c1ccccc1,CCC(C)=O,373.15,-0.053142892,0.2624,1.00E-08,0.315542892,163
c1ccccc1,CCC(C)=O,333.15,-0.089561392,0.1398,1.00E-08,0.229361392,164
c1ccccc1,CCC(C)=O,373.2,-0.053105799,0.2624,1.00E-08,0.315505799,165
c1ccccc1,CCC(C)=O,298.15,-0.135880079,0.1133,1.00E-08,0.249180079,166
c1ccccc1,CCC(C)=O,333.2,-0.089506217,0.1398,1.00E-08,0.229306217,167
CCCCCC,Oc1ccccc1,298.15,2.582581822,2.8622,1.00E-08,0.279618178,168
CCCCCC,Oc1ccccc1,373.2,1.936437,2.1633,1.00E-08,0.226863,169
CCCCCC,Oc1ccccc1,333.2,2.249128705,2.4849,1.00E-08,0.235771295,170
CCCCCC,Oc1ccccc1,338.15,2.206854742,2.613,1.00E-08,0.406145258,171
CCCCCC,Oc1ccccc1,318.15,2.384650776,2.6312,1.00E-08,0.246549224,172
CCCCCC,Oc1ccccc1,333.15,2.24956133,2.6174,1.00E-08,0.36783867,173
CCCCCC,Oc1ccccc1,348.15,2.124702704,2.5787,1.00E-08,0.453997296,174
CCCCCC,Oc1ccccc1,363.15,2.0091175,2.5603,1.00E-08,0.5511825,175
CCCCCC,Oc1ccccc1,358.2,2.046289702,2.4932,1.00E-08,0.446910298,176
CCCCCC,Oc1ccccc1,373.15,1.936789625,2.4596,1.00E-08,0.522810375,177
CCCCCC,Oc1ccccc1,343.15,2.165246994,2.5533,1.00E-08,0.388053006,178
CCCCCC,Oc1ccccc1,328.15,2.293403628,2.6651,1.00E-08,0.371696372,179
CCCCCC,Oc1ccccc1,323.15,2.338420077,2.5649,1.00E-08,0.226479923,180
CCCCCC,Oc1ccccc1,323.2,2.33796397,2.5649,1.00E-08,0.22693603,181
CCCCCC,OCCOCCOCCO,298.15,1.886149995,4.1109,1.00E-08,2.224750005,182
CCCCCC,OCCOCCOCCO,333.15,1.731601546,3.7013,1.00E-08,1.969698454,183
CCCCCC,OCCOCCOCCO,373.15,1.563563829,3.3322,1.00E-08,1.768636171,184
CCCCCC,OCCOCCOCCO,363.2,1.6041156,3.5596,1.00E-08,1.9554844,185
CCCCCC,OCCOCCOCCO,348.2,1.666888602,3.6956,1.00E-08,2.028711398,186
CCCCCC,OCCOCCOCCO,333.2,1.731384091,3.8252,1.00E-08,2.093815909,187
c1ccccc1,CC(C)=O,333.2,0.016940253,0.47,1.00E-08,0.453059747,188
c1ccccc1,CC(C)=O,373.15,0.051235131,0.4055,1.00E-08,0.354264869,189
c1ccccc1,CC(C)=O,373.2,0.051267648,0.4055,1.00E-08,0.354232352,190
c1ccccc1,CC(C)=O,298.2,-0.031320336,0.5306,1.00E-08,0.561920336,191
c1ccccc1,CC(C)=O,298.15,-0.031405207,0.5306,1.00E-08,0.562005207,192
c1ccccc1,CC(C)=O,329,0.012196611,0.4318,1.00E-08,0.419603389,193
c1ccccc1,CC(C)=O,314.4,-0.006379927,0.4511,1.00E-08,0.457479927,194
c1ccccc1,CC(C)=O,304,-0.021817765,0.4637,1.00E-08,0.485517765,195
c1ccccc1,CC(C)=O,329.4,0.012659303,0.3988,1.00E-08,0.386140697,196
CCCCCC,OCC1CCCO1,298.15,1.770994449,2.7081,1.00E-08,0.937105551,197
CCCCCC,OCC1CCCO1,300.15,1.760609327,2.6878,1.00E-08,0.927190673,198
CCCCCC,CO,333.2,3.666591724,2.9444,1.00E-08,-0.722191724,199
CCCCCC,CO,298.2,4.017793762,3.2958,1.00E-08,-0.721993762,200
CCCCCC,CO,298.15,4.018309717,3.2958,1.00E-08,-0.722509717,201
CCCCCC,CO,303.15,3.966897454,3.2542,1.00E-08,-0.712697454,202
CCCCCC,CO,313.2,3.864739055,3.157,1.00E-08,-0.707739055,203
CCCCCC,CO,313.15,3.865243221,3.1171,1.00E-08,-0.748143221,204
CCCCCC,CCO,298.2,2.799009369,2.4849,1.00E-08,-0.314109369,205
CCCCCC,CCO,373.2,2.238100337,2.1282,1.00E-08,-0.109900337,206
CCCCCC,CCO,333.2,2.522126365,2.2721,1.00E-08,-0.250026365,207
CCCCCC,CCO,298.15,2.799423992,2.4849,1.00E-08,-0.314523992,208
CCCCCC,CCO,350.9,2.392244267,2.0919,1.00E-08,-0.300344267,209
CCCCCC,CCO,293.15,2.841158521,2.4849,1.00E-08,-0.356258521,210
CCCCCC,CCO,322.2,2.606266469,2.3026,1.00E-08,-0.303666469,211
CCCCCC,CCO,354.2,2.368772756,2.1633,1.00E-08,-0.205472756,212
CCCCCC,CCO,283.15,2.92623169,2.42,1.00E-08,-0.50623169,213
CCCCCC,CCO,318.15,2.637910378,2.297,1.00E-08,-0.340910378,214
CCCCCC,CCO,313.2,2.677072942,2.2925,1.00E-08,-0.384572942,215
CCCCCC,CCO,313.15,2.677471254,2.451,1.00E-08,-0.226471254,216
CCCCCC,CCO,303.15,2.758229554,2.5416,1.00E-08,-0.216629554,217
CCCCCC,CCCCCCC,333.2,-0.006717753,0,1.00E-08,0.006717753,218
CCCCCC,CCCCCCC,293.2,-0.006737727,0,1.00E-08,0.006737727,219
c1ccccc1,CS(C)=O,298.15,0.437346003,1.2238,1.00E-08,0.786453997,220
c1ccccc1,CS(C)=O,373.15,0.532405883,1.0116,1.00E-08,0.479194117,221
c1ccccc1,CS(C)=O,333.2,0.495835732,1.1151,1.00E-08,0.619264268,222
c1ccccc1,CS(C)=O,303.15,0.447579233,1.3083,1.00E-08,0.860720767,223
c1ccccc1,CS(C)=O,333.15,0.495772212,1.1314,1.00E-08,0.635627788,224
c1ccccc1,CS(C)=O,313.2,0.466119124,1.2528,1.00E-08,0.786680876,225
