Normalized SMILES,index,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_26,sigma_27,sigma_28,sigma_29,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_36,sigma_37,sigma_38,sigma_39,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_46,sigma_47,sigma_48,sigma_49,sigma_50,sigma_51,Vcosmo
CN1CCC[C@H]1c1cccnc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,4.75,7.29,8.44,16.1,21.9,28.6,23,20.4,21.7,10.7,9.98,10.2,3.19,2.93,1.44,1.19,2.79,1.05,1.96,2.39,1.34,0.865,0.971,1.17,0.586,0.146,0,0,0,0,0,0,0,217.89637
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,8.17,10.2,10.5,9.22,7.16,8.71,5.56,5.59,6.53,7.7,7.33,12.1,16.7,32.6,31.2,23.3,14.5,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.48762
CCCCl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869,2.35,3.96,5.01,12.3,14.7,13.1,9.83,11.1,8.23,5.92,5.18,2.41,3.72,10.7,8.31,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.98874
CCCCCCCCCc1ccccc1O,,0,0,0,0,0,0,0,0,0,0,0,0,0.00331,0.421,0.427,0.607,0.69,1.1,2.26,7.51,11.7,17.4,26.5,42.5,43.8,34,30,21,17.1,8.33,9,10.1,8.35,4.47,1.13,2.51,2.46,0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,315.08641
CCCCCCCCCCCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562,12.8,44.4,65.4,50.9,45.6,31.1,25.6,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.86058
C[P@@](=O)(F)OC1CCCCC1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,5.27,4.74,4.47,5.75,14.4,29.9,27.6,21.3,20.1,14.4,6.08,5.14,9.84,7.15,3.92,2.51,2.44,2.62,1.16,1.45,5.41,5.72,0.357,0,0,0,0,0,0,0,0,0,0,0,212.03208
C=C(C)C(=O)OCCCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,1.53,3.95,10.7,15.4,26.2,26.4,24.3,24.9,19.8,13.5,8.32,7.3,4.49,1.04,1.63,0.969,3.49,1.49,3.39,5.37,0.391,0,0,0,0,0,0,0,0,0,0,0,0,200.02661
COC(C)OC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,2.46,13.4,18.7,18.3,15.5,17.5,10.2,9.77,5.15,2.34,2.14,2.01,2.12,1.05,1.23,3.16,3.35,2.2,3.73,2.76,1.03,0.0131,0,0,0,0,0,0,0,0,0,0,127.54281
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,1.52,5.23,5.93,6.6,6.72,7.62,14.5,8.14,14.9,35.1,29.6,30.3,51.4,55.5,21.2,0.0198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.07389
CC(C)c1ccc(C(C)C)cc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,9.22,16.4,27.9,27.3,26.2,25.4,22.2,23.7,9.34,8,5.58,8.22,6.98,4.35,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.22471
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408,2.61,7.46,7.16,9.45,15.2,19.5,18.2,12.2,7.32,5.21,6.33,6.36,7.21,10.5,15.6,27.2,13.8,8.3,8.76,7.58,0.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.30325
CCCCCCl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864,2.3,3.89,4.37,7.62,22.3,22.3,19.9,15.6,12,13.6,7.34,2.42,3.47,10.9,8.15,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.03441
C=C(CC)c1ccccc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,10.2,14.5,16.3,15.9,15.7,15,16.3,15.2,14.3,10.1,9.06,13.7,12,6.36,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.29397
Cc1cc(C)c(C)cc1C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,7.49,22.3,25.6,21.2,18.2,18,26.3,15.4,7.7,5.91,5.33,7.13,6.76,3.74,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.38513
C[C@H]1O[C@@H](C)O[C@@H](C)O1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135,9.49,21.2,20.4,19.6,12.9,14,20.6,11,3.18,2.19,3.89,1.68,1.32,2.38,4.03,7.54,5.2,4.38,5.34,0.415,0,0,0,0,0,0,0,0,0,0,0,0,163.95881
O=C(O)c1ccc2c(c1)C(=O)OC2=O,,0,0,0,0,0.651,1.08,0.315,0.8,1.43,1.17,0.795,0.606,1.35,1.62,1.06,3.11,5.54,6.11,6.25,7.27,10.1,10.5,17.2,15.5,10.6,3.39,3.88,5.2,4.85,6.58,9.38,9.71,11.8,15.8,11,6.46,2.01,1.23,0.193,0,0,0,0,0,0,0,0,0,0,0,0,196.30729
Clc1cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc(Cl)c1Cl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274,2.98,4.52,3.65,3.77,5.98,6.69,19.3,4.49,20.8,48.8,34.8,27.2,61.3,48,22.1,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.45424
C=Cc1ccccc1Br,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,9.19,11.7,11.3,12,7.32,8.04,10.4,8.89,11.4,16.7,21.8,24,15.1,3.24,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.14519
OC[C@H](O)CCl,,0,0,0,0,0,0,0,0,0.249,0.957,1.65,0.37,0.799,1.4,1.53,1.61,1.7,3.62,6.23,11.4,12.1,8.73,6.12,5.41,6.11,2.17,4.81,7.16,3.95,3.4,12,8.2,4.65,3.55,3.12,1.83,2.92,2.54,4.23,1.16,0.0899,0,0,0,0,0,0,0,0,0,0,125.73989
C=C(C)C=O,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377,2.57,10.8,14.2,10.5,7.7,9.01,8.1,10.7,7.92,4.68,4.28,4.79,1.16,1.19,0.885,2.93,2.49,3.84,4.73,2.4,0.821,0.181,0,0,0,0,0,0,0,0,0,0,0,102.41229
CCCCCCCCCCC1CCCCC1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,11.2,53.6,79.1,64.6,55.5,38,25.2,0.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.5636
CCN(C=O)CC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,6.22,11.1,18.3,18.5,20.3,14.8,14.8,15.9,5.34,2.66,1.45,0.163,0.251,0.992,0.998,1.52,1.15,2.56,1.66,5.95,3.86,1.48,0.357,0,0,0,0,0,0,0,0,0,147.00871
Clc1cc(Cl)c(Cl)c(-c2cccc(Cl)c2Cl)c1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00945,1.07,4.11,7.86,8.62,9.15,7.57,13.6,9.9,6.62,27.5,32.5,32.9,36,50.6,29.1,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.14982
Clc1ccc(-c2cc(Cl)cc(Cl)c2Cl)c(Cl)c1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,1.26,6.29,7.75,6.4,8.98,6.41,12.2,11.2,5.69,27.4,33.9,36.9,39.1,51.5,27.8,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.45143
C=C(C)C(=O)OCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,1.53,5.26,14.1,16.4,18.1,15.7,16.5,19,15.4,6.56,6.68,6.55,3.94,2.92,2.28,1.21,2.01,2.11,3.34,4.61,0.804,0,0,0,0,0,0,0,0,0,0,0,0,155.61264
N#CCc1ccccc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,3.86,4.6,3.89,8.64,13.9,12.6,8.16,8.2,10.7,5.4,7.39,7.69,10.2,6.15,10,10.9,9.23,2.88,4.1,3.98,4.47,4.13,2.18,0.107,0,0,0,0,0,0,0,0,0,0,0,0,157.87611
NCCCCCCO,,0,0,0,0,0,0,0,0,0,0.154,0.484,1.55,0.615,0.477,0.906,2.35,4.13,2.13,3.51,3.86,4.5,8.33,19.4,29.9,27,19.8,11.5,8.96,2.64,3.16,2.66,1.68,1.59,1.52,1.55,2.43,1.96,1.81,2.52,3.15,3.22,0.713,0.52,0.489,0.6,0.732,0.646,0.178,0,0,0,173.73306
CCCS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,1.41,1.88,4.19,4.12,9.23,16.7,14.4,12.1,11.5,10.9,9.61,4.08,3.73,3.1,1.99,3.92,2.15,2.96,1.62,2.61,0.255,0,0,0,0,0,0,0,0,0,0,0,0,0,110.44565
C=CC[C@H](C)CC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509,4.1,8.78,20.6,24.3,23.1,18.3,21.7,20,8.26,3.46,2.73,3.58,2.96,2.48,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.36218
CCC(C)(C)CC(C)C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757,1.82,18.7,30.6,39.2,26,25.5,28.4,21.6,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.09003
O=[N+]([O-])c1ccc(OC(F)F)cc1,,0,0,0,0,0,0,0,0,0,0,0,0,0.821,2.99,1.92,2.53,5.72,8.32,6.34,5.72,6.97,5.95,8.57,8.09,14.6,15.1,15,16.5,18.8,15.4,5.75,9.3,5.53,4.33,2.31,2.47,2.78,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,189.71152
CCOCCOC(C)=O,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465,3.44,7.21,14,23.3,22.2,25.7,20.6,10.6,11.2,5.18,3.62,3.41,2.73,4.2,3.01,3.58,5.13,3.26,6.42,5.32,1.8,0.0362,0,0,0,0,0,0,0,0,0,0,0,172.72275
C[C@@H](O)CC(C)(C)O,,0,0,0,0,0,0,0,0,0,0.0909,0.79,0.875,0.559,0.715,0.999,1.09,0.729,1.35,1.67,1.62,4.04,13.3,20.4,23.6,15.4,15.1,22.8,11.6,3.38,2.89,1.48,1.28,2.01,1.59,1.4,2.32,3.33,1.84,1.98,2.43,1.87,0.264,0,0,0,0,0,0,0,0,0,166.49879
CC(=O)CC(C)(C)O,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,4.75,11.1,13.2,16.4,16.4,18.3,15.7,10.6,13.4,7.14,4.16,1.46,2.79,2.11,2.81,2.25,4.08,2.82,2.78,3.42,1.65,2.21,2.1,0.186,0,0,0,0,0,0,0,0,0,161.67369
Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2)c1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,4.37,7.7,9.69,8.98,8.03,12.6,10.3,7.87,22.7,30.2,30.4,38.2,42.9,32.7,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.5404
Clc1cccc(-c2cccc(Cl)c2Cl)c1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657,7.73,13.1,12.5,11.8,9.78,13.2,7.19,12.3,22,24.8,28.4,40.6,35.3,10.7,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.46607
O=CCCCC=O,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198,5.89,22,25,14.8,13.2,7.49,2.81,6.02,4.15,1.79,1.68,0.908,2.61,2.51,3.47,3.44,7.9,9.02,6.21,5.68,1.62,0,0,0,0,0,0,0,0,0,0,0,0,135.43562
O=C1CCCCCCCCCCC1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,6.08,6.68,9.04,19.5,34.3,38.4,34.4,27,20.5,5.9,1.6,1.36,0.878,0.713,0.926,2.11,1.86,2.82,3.66,2.13,1.13,0.129,0,0,0,0,0,0,0,0,0,0,259.36871
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,1.83,7.24,9.51,8.62,9.62,13.8,7.73,14.1,35.8,28,23.3,43.4,47.3,30.5,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.77804
CC(=O)C(C)C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00946,1.1,5.01,10,15.6,17.4,16.6,16.2,12,11.3,8.1,1.67,1.96,1.09,0.607,0.947,2.18,1.44,2.02,3.97,3.79,2.66,1.38,0.0444,0,0,0,0,0,0,0,0,0,0,129.81807
Clc1ccc(-c2cc(Cl)cc(Cl)c2)cc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,3.29,11.4,11.3,8.76,8.91,7.77,12.7,6.74,11.1,24.1,28,41.5,43.6,33.9,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.57113
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,,0,0,0,0,0,0,0,0.718,1.07,0.149,1.62,1.31,0.682,0.137,0.355,0.726,1.28,2.41,5.66,13.2,19.8,21,18.6,14.9,15.9,17.4,21.4,22.9,22,26.8,17.3,5.66,4.65,3.2,1.78,5.35,3.41,0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,293.22445
CCCCCCCCCCCCC(=O)O,,0,0,0,0,0,0.21,0.697,1.19,0.305,0.681,1.49,1.18,0.206,0.443,0.999,1.61,1.06,2.65,3.94,3.83,4.23,4.51,20.1,46.7,57.3,44.5,35.4,24.5,18.9,2.06,2.28,2.81,0.925,2.91,4.28,6.66,6.39,3.14,2.04,0.434,0,0,0,0,0,0,0,0,0,0,0,315.59163
OCCCl,,0,0,0,0,0,0,0,0,0.213,0.939,1.5,1.05,0.291,0.711,1.81,1.36,1.25,2.61,5.41,6.94,6.77,5.91,5.77,4.91,5.6,2.92,2.79,6.79,5.36,2.81,10.1,9.46,4.49,1.15,1.71,1.25,1.39,2.11,2.34,0.947,0,0,0,0,0,0,0,0,0,0,0,93.36226
CC(C)COCC(C)C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,29.8,38.7,31.4,24.1,20.4,28.6,12.8,3.46,1.85,1.5,1.03,1.59,0.992,1.78,1.31,0.0205,0,0,0,0,0,0,0,0,0,0,0,0,0,203.72133
CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766,5.64,14.9,35.9,52.3,51.8,45.5,30.4,24.3,17.7,7.31,4.64,3.12,2.34,2.24,3.67,3.82,4.75,7.76,8.16,4.23,2.76,1.65,0.0605,0,0,0,0,0,0,0,0,0,403.5624
Cc1cc(C)cc(O)c1,,0,0,0,0,0,0,0,0.384,1.42,0.613,0.642,1.05,1.21,0.625,0.844,0.876,0.726,1.26,1.41,2.44,11.3,15.6,16.4,10.7,10.9,15,16.2,8.31,5.44,7.7,10.3,10.7,7.47,3.54,0.955,2.6,2.62,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,164.79564
Oc1cncc(Cl)c1,,0,0,0,0,0,0.0612,0.636,1.65,0.841,0.452,1.12,1.39,1.36,0.422,1.23,1.66,1.85,2.51,4.44,6,2.76,4.6,5.71,4.66,8.17,14.9,20.1,12,15.2,9.76,3.75,1.99,3.05,3.41,3.91,1.58,1.25,1.09,0.901,1.12,0.57,0.162,0,0,0,0,0,0,0,0,0,138.73199
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627,3.02,7.97,10.4,9.23,8.06,11.2,11.1,6.89,21.6,33.2,33.2,32.9,43.8,31.3,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.94557
CCCCCCCCCCCCCC(=O)O,,0,0,0,0,0,0.0466,0.641,1.39,0.271,0.546,1.65,1.15,0.641,0.205,0.483,1.96,1.25,2.51,4.28,3.44,4.45,4.4,20.4,49.6,62.6,49,39.5,25.7,20.3,1.8,2,2.55,1.94,3.1,3.43,7.43,6.07,3.24,1.94,0.423,0,0,0,0,0,0,0,0,0,0,0,337.50582
O=C(O)c1ccc(Br)cc1,,0,0,0,0,0,0,0,0.859,0.907,0.0663,1.85,1.15,0.674,0.186,0.364,0.668,1.35,4.73,7.84,6.5,8.75,4.6,5.55,11.4,11.3,12.3,20.1,28.3,15.5,9.71,3.32,2.09,3.41,3.15,0.798,5.2,4.44,0.553,0,0,0,0,0,0,0,0,0,0,0,0,0,175.38105
C#CCO,,0,0,0,0,0,0,0,0,0.233,0.446,1.7,0.471,0.51,1.98,3.41,2.23,0.842,3.91,5.46,6.19,3.62,4.93,4.93,2.11,2.63,3.22,4.8,3.82,3.14,5.78,7.57,5.4,8.39,2.67,0.775,1.54,1.97,2.32,2,0.927,0,0,0,0,0,0,0,0,0,0,0,81.38966
Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,2.46,4.88,2.65,4.65,5.9,7.55,17.7,4.63,21.2,49.2,35.8,28.3,59.9,50.2,19.4,0.0997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.18575
C[C@H]1OC[C@@H](OCCC#N)CO1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,4.31,5.01,9.95,17.1,26.5,19.3,16.6,13.6,9.71,10.1,10.3,6.77,3.34,4.46,4.42,4.7,5.89,8.62,7.74,9.28,8.39,5.74,1.2,0,0,0,0,0,0,0,0,0,0,0,0,213.43974
CCCCCCCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523,11.2,31.2,44.7,34.2,32,25.1,17.6,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.79275
CC(C)C1CCCC1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,10.7,28.2,38.4,29.6,24.2,22,16.8,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.85652
CC(C)c1ccc2ccccc2c1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,14.1,14.5,19.4,19.2,19.8,17.8,15.4,15.9,18.9,12.6,11.4,22.9,15,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.25986
O=C(O)c1ccncc1,,0,0,0,0,0,0,0.115,1.31,0.343,0.832,1.6,1.15,0.271,0.241,0.403,1.16,0.842,1.77,8.53,8.6,5.87,7.01,7.72,10.6,10.5,16.3,14.6,6.74,4.13,6.54,1.88,4.82,5.58,2.08,3.82,7.48,2.72,0.914,0.642,1.29,0.691,0.307,0,0,0,0,0,0,0,0,0,141.95812
C=C(CC)CCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,9.1,22.6,27.1,22.3,21.8,20.5,19.8,6.45,3.77,2.84,2.7,2.92,2.47,1.27,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.50438
CCCCCOC(=O)CC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476,4.1,7.63,15,29.6,34.5,30.9,20,20.2,15.8,5.4,2.66,2.23,2.58,3.07,2.63,2.94,2.41,3.95,4.64,1.08,0,0,0,0,0,0,0,0,0,0,0,0,204.06061
c1ccc2c(c1)oc1ccccc12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707,5.57,15.2,16.3,14.9,11.7,7.51,11.9,11.6,12.5,25.5,20,22,15.3,5.19,1.82,0.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.20511
FC(F)(F)F,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569,2.27,2.4,3.74,10.8,29.3,37.8,0.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6646
CC(=O)c1ccc(O)cc1,,0,0,0,0,0,0,0.206,1.21,0.953,0.758,0.851,1.51,0.765,0.735,0.851,0.789,1.42,1.52,6,11.3,11.3,9.57,9.07,9.55,12.8,9.87,10.8,13.5,15.9,10.1,2.89,2.46,1.74,3.21,5.57,3.31,3.46,4.93,1.52,1.25,0.0162,0,0,0,0,0,0,0,0,0,0,168.85642
Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,3.23,6.16,4.41,6.63,11.9,13.6,8.46,35.5,31,23.2,36.2,52.7,58.2,17.6,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.05684
O=C(O)CCCCCCC(=O)O,,0,0,0,0,0,0,0,0.389,2.55,0.59,1.56,2.96,2.39,0.779,0.395,0.716,1.92,1.81,2.4,9.74,8.65,11.1,26.5,31.2,24.1,12.4,11,4.35,7.47,5.44,7.12,3.61,4.11,10.3,4.94,9.45,10.7,3.81,0.152,0,0,0,0,0,0,0,0,0,0,0,0,221.84178
Nc1ccc([N+](=O)[O-])cc1,,0,0,0,0,0,0,0,0,0,0,0.404,2.9,2.67,2.81,3.56,2.6,2.72,4.26,6.79,7.2,6.76,4.92,7.01,6.03,8.35,11.5,13.9,13.2,10.1,3.65,4.64,3.5,9.2,8.93,4.86,4.09,1.86,3.5,0.863,0,0,0,0,0,0,0,0,0,0,0,0,155.54905
CCCCC(C)CCCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,14.8,36.5,51.3,37.2,36.6,33.3,19,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.05494
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,3.43,4.58,4.52,5.79,5.85,6.84,7.12,10.4,20.9,16.1,12.2,20.6,32.7,17.6,5.78,5.7,8.19,4.39,2.49,2.54,2.83,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.66324
COC=O,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,2.79,2.93,4.81,7.98,6.97,7.2,10.3,7.72,3.34,4.49,3.27,1.4,2.59,1.95,2.56,3.13,2.16,4.25,1.64,4.95,4.78,1.71,0.375,0,0,0,0,0,0,0,0,0,0,0,0,76.24227
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,1.62,5.31,4.64,5.37,5.27,8.09,18.5,3.89,19.8,41.6,33.4,28.9,59.4,53.3,18.4,0.0943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.97763
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918,8.12,15.9,17,19.4,15.3,7.35,7.05,12.2,9.87,8.82,19.6,18,42.2,38.5,28.8,18.1,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.48743
Cc1c(O)c(=O)ccn1C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,3.67,5,11.2,14.2,11.4,14.7,13.6,8.3,9.6,7.97,9.71,8.94,8.54,4.93,3.63,2.64,3.91,2.51,2.36,3.26,4.02,1.35,2.56,4.03,2.7,1.81,0.197,0,0,0,0,0,0,0,0,167.13075
CCC(CC)CO,,0,0,0,0,0,0,0,0,0,0.119,0.38,1.36,0.58,0.603,1.18,0.73,0.556,0.993,0.76,1.58,1.47,5.56,18.3,23.5,23.4,17.9,17.8,18.6,6.73,2.86,0.463,1.36,0.584,0.424,1.37,1.61,1.27,1.28,1.48,2.55,1.11,0.313,0,0,0,0,0,0,0,0,0,157.92974
CC1CCCCC1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,7.03,24.9,34.9,27.8,23.8,19.8,11.8,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.41849
CC(C)NC(C)C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422,0.905,1,1.25,0.915,6.68,23.8,25.4,26.1,18,16.6,22.5,10.8,1.71,1.53,1.26,0.658,0.395,0.997,0.901,0.538,0.117,0.445,0.304,0.642,0.525,0.244,0.883,0.151,0.0515,0,0,0,0,0,164.80883
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434,6.11,8.95,10.5,22.5,25.7,8.69,2.45,2.17,3.76,6.3,11.1,6.09,9.47,18.3,24.3,12,8.18,9.26,7.34,0.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.18984
CC(C)=CCOCC=C(C)C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,10.2,31.1,34.1,25.2,23,21.9,29.4,14.8,7.54,6.44,4.83,4.89,4.42,2.02,2.9,2.65,1.77,0.888,2.03,1.86,1.1,0.0325,0,0,0,0,0,0,0,0,0,231.36518
O=C(O)c1ccc(Cl)nc1,,0,0,0,0,0,0,0.106,1.27,0.386,0.781,1.57,1.19,0.312,0.223,0.373,1.16,2.79,6.03,5.04,4.36,3.11,7.61,8.47,15.7,24.2,12.8,6.18,12.7,12.1,7.19,5.37,3.85,5.77,2.59,2.86,7.58,3.09,1.2,0.683,0.135,0,0,0,0,0,0,0,0,0,0,0,163.29797
C=CCSCC=C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,14.1,19.1,15.7,15.3,13,7.73,8,10.3,13,10.3,6.95,9.71,9.65,5.92,5.87,2.54,1.86,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.78444
